,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,
Vertex 1,Vertex 2,Color,Width,Style,Opacity,Visibility,Label,Label Text Color,Label Font Size,Reciprocated?,ID,Dynamic Filter,Add Your Own Columns Here,Relationship,Relationship Date (UTC),Tweet,URLs in Tweet,Domains in Tweet,Hashtags in Tweet,Tweet Date (UTC),Twitter Page for Tweet,Latitude,Longitude,Imported ID,In-Reply-To Tweet ID
pauloc0__,society_gg,,,,,,,,,,,,,Mentions,28/05/2022 20:12,"RT @MEAGLEPOTATOE: RT Society_gg ""RT @Society_gg: ??AWP Asiimov GIVEAWAY ($120)??

To enter:
-Retweet &amp; Follow @Society_gg
-Tag 2 friends

??C…",,,,28/05/2022 20:12,https://twitter.com/#!/pauloc0__/status/1530643316701859840,,,1530643316701859840,
pauloc0__,meaglepotatoe,,,,,,,,,,,,,Mentions,28/05/2022 20:12,"RT @MEAGLEPOTATOE: RT Society_gg ""RT @Society_gg: ??AWP Asiimov GIVEAWAY ($120)??

To enter:
-Retweet &amp; Follow @Society_gg
-Tag 2 friends

??C…",,,,28/05/2022 20:12,https://twitter.com/#!/pauloc0__/status/1530643316701859840,,,1530643316701859840,
diepioki,lilpkle,,,,,,,,,,,,,Mentions,28/05/2022 20:13,"RT @LilPKLE: ? Flip Knife | Urban Masked ($118) Giveaway
??follow 
??retweet
??Drop a comment (show proof)
https://t.co/d0Y1rqWCRV

Rolling so…",https://www.youtube.com/watch?v=TEy6zANF3uM&feature=youtu.be,youtube.com,,28/05/2022 20:13,https://twitter.com/#!/diepioki/status/1530643412273209351,,,1530643412273209351,
enmad9,asscdawn,,,,,,,,,,,,,Mentions,28/05/2022 20:13,"RT @hellcasecom: ?? Tag The Best Friend &amp; Like
?? Follow us
?? Retweet this post
?? The last winner was @asscdawn 
 
#hellcase #csgo #csgoskin…",,,hellcase csgo csgoskin,28/05/2022 20:13,https://twitter.com/#!/enmad9/status/1530643413070127104,,,1530643413070127104,
enmad9,hellcasecom,,,,,,,,,,,,,Mentions,28/05/2022 20:13,"RT @hellcasecom: ?? Tag The Best Friend &amp; Like
?? Follow us
?? Retweet this post
?? The last winner was @asscdawn 
 
#hellcase #csgo #csgoskin…",,,hellcase csgo csgoskin,28/05/2022 20:13,https://twitter.com/#!/enmad9/status/1530643413070127104,,,1530643413070127104,
gercsg_,csgotrip_,,,,,,,,,,,,,Mentions,28/05/2022 20:13,"RT @csgotrip_: AK-47 | Rat Rod Giveaway! ????

To Enter:

1?? Retweet + Follow Us
2?? Tag 3 Friends
3?? Show some love on video: https://t.co…",,,,28/05/2022 20:13,https://twitter.com/#!/gercsg_/status/1530643421865689093,,,1530643421865689093,
samulockios9,valentinn007,,,,,,,,,,,,,Mentions,28/05/2022 20:13,RT @Valentinn007: Volvi a jugar CSGO después de meses https://t.co/uzY60R6pZi,,,,28/05/2022 20:13,https://twitter.com/#!/samulockios9/status/1530643461350866946,,,1530643461350866946,
r_tarded_banana,r_tarded_banana,,,,,,,,,,,,,Tweet,28/05/2022 20:13,my power went out in the middle of a csgo game lmfao,,,,28/05/2022 20:13,https://twitter.com/#!/r_tarded_banana/status/1530643466946060290,,,1530643466946060290,
jamiliferreiran,jamiliferreiran,,,,,,,,,,,,,Tweet,28/05/2022 20:13,#CSGO,,,csgo,28/05/2022 20:13,https://twitter.com/#!/jamiliferreiran/status/1530643473535275009,,,1530643473535275009,1530642817713950721
